,ID,REPLY,LIKE,LIKE2
13,정유미,택조아재~응원합니다~^^이택조 채널도 열정적으로 보고있어요~한사랑산악회는 볼때마다 느끼는거지만 이건 진짜 레전드같아요~왠만한 테레비 시트콤보다 고컬~!!,52,52
14,Hj Park,진짜완벽하다... 등산할때 옆에서 지나가던 중년들 디테일의 완벽재연!,62,62
15,조자두,우리 아부지 이거 컨셉인지모르고 그냥 잼있다고 보심,4.3천,4300
16,혜리포터혜리,킬링포인트가 너무 많아 ㅠㅠㅠ 한편한편이 다 너무 주옥같아,17,17
17,안가영,아...뒤늦게 빠져서 정주행 중인데 정말 진짜 너무 재밌어서 너무 행복해요 ㅋ ㄱ ㅋ ㄱ 요세 웃을일이 없었는데 정말 감사해요 어지간한 넷플릭스보다 훨씬 재밌어요 한사랑산악회 짱짱  사랑해요 ,27,27
18,사과,이택조 이 사람 진짜 웃겨 개콘에 계실때 이정도로 웃긴 사람인 줄 몰랐어요ㅋㅋㅋ 연기 정말 잘하시네요,1.6천,1600
19,영파이어,한사랑 산악회는 이로써 2021년 제가 가장 사랑하는 대한민국 시트콤이 되었습니다.,28,28
20,Olive Tree,ㅋㅋㅋㅋㅋ 계속 피식 피식 웃게 되넼ㅋㅋㅋ 다들 개성이 뚜렷해서 너무 좋앙ㅋㅋㅋ,23,23
21,치키타,영남회장님의 계단 명언은 진짜 언제나 들어도 가슴을 울리네요,2,2
22,영원히 사랑해,아 웃겨 눈물나 배아파 어쩜 50대 아재들 케릭터가 완벽해 오늘 첨 정주행하고 있는데  스트레스가 다 풀린다 쵝오!!!,84,84
23,JM Lee,"8:32 34:18 등산온 아저씨 세수 디테일 미쳤네요 ㅋㅋㅋㅋㅋ사투리랑 말투만 잘 살리는게 아니라, 대화 소재나 내용의 디테일이 정말 기가막힘! 28:06 29:59 38:19 이런 부분 보고 진짜 감탄했음..46:57 말리기 딱 좋은 체형 ㅋㅋ",92,92
24,Isabella Lee,어머.. 나 이제 이걸 자장가로 들어요 ㅜㅜ 2년째 스트레스 해소 명상음악 틀어놓고 잤었는데 이젠 이거 틀어놔요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어제 잠이 잘 오길래 오늘도 틀어놓을려고 왔어요 ㅎㅎ 웃으면서 잠들 수 있어서 감사합니다 ,28,28
25,JUST BRING IT !!,한사랑 산악회가 제일 좋다. 잔잔한 시트콤 보는 것 같아서 너무 좋음.,142,142
26,by_hyero,진짜 이거 레전드  지칠때마다 켜서 봄.. 울아빠 생각난다,7,7
27,알로하 알로하mistermonkey,우리 아버지들이 가족모르게 쌓여온 서러움과 슬픔을 감추고 아재아재라고 비웃음 받지만  사실 그 누구보다 여리고 가족위해 희생하며 살고있다는 걸 코미디로 보여준다는 점에서 대단하단 생각이 들게해요..,329,329
28,S J,한사랑산악회 결산중에 이게 제일 좋음 이게 최고다,0,0
29,다현,1:00:17 와 이 노래 진짜 있는 거였어? 아빠가 가끔 불러서 아빠가 지어낸 노랜줄 알았는데 세상에...,1.8천,1800
30,끼욧,이게 2년전이라니... 이거도 하나의 추억이디 정말,7,7
31,이수연,1:00:06....내 최애구간....반주를 만들어서라도 리듬을 타버리는....뼛속부터 흥의 민족ㅠㅠㅠㅠ,809,809
32,김진원,"택조 아재가 얘기한 3:08:00 에 대사 진짜 뼈져리게 다가오네요. 여기 작가가 따로있나??인생이 제일 힘들때 어제가 제일 힘든줄 알았는데 오늘이 더 힘들었고, 그래서 내일이 두려울때....진짜 뭔가 확 허파를 뒤집고 가네요ㅜㅜ",55,55
33,윤호,ㅋㅋㅋㅋ이거 틀어놓고 잤더니 꿈에서 산악회분들 저희집에 집들이왔어요ㅋㅋㅋㅋ 광용쌤 얼굴보고 빵터져서 웃다가 눈물까지흘림,17,17
34,지나가는사람,뭐지.. 한국에 있는 산이 궁금해서 검색 해보는데 영상이 떠서 보고 있습니다. 매력이 아주 넘치다 못해 흘러 강을 만들어 버리셨습니다,13,13
35,두루미,너무 좋다 이렇게 모아주는거…….,19,19
36,찐,아. 정말 한사랑산악회. 사랑합니다. 요즘 우울한 시기에 큰 웃음을 주어 감사합니다. 요즘 이거 보는 재미로 살아요 ㅋㅋ 4명 모두 캐릭터 짱 웃겨요 ㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 아저씨들 같아요,15,15
37,아기도미 일상,이런게 ASMR인가요..? 재택근무중에 이미 본 영상들 모음집으로 틀어놓고 일하는데 참 마음이 안정되고 행복하네요,33,33
38,아몬드,공부하다가 쉼이 필요해서 삼촌들 보러 왔어요 삼촌들 보면 왜 마음이 편하지? 기숙사에서 일주일 살았는데  집에 너무 가고 싶다.,17,17
39,N.C.L.M jazz,36:57 이택조 명언..... 깊은 깨달음 얻고 갑니다..,366,366
40,내일은또 다른 태양,산악회 멋지다.,3,3
41,Stella Pak,우와~~ 인천 계양산 언제 오셨어요?울 동네라 저도 자주 가는데 ㅎㅎ 또 오세요 너무 재밌어요 진짜 50대 아재들이랑 똑같아요 대박 마지막은 항상 싸움 하다가 목소리 겁나 크고,4,4
42,감성당근,아무 생각없이 욜심히 보고 있는데 왜 때문에 다음편으로 안넘어가지했더니 무려 세시간???!!!!감사합니다 ️️,6,6
43,비비,아니 왜 내가 아저씨들 노는걸 24시간 틀어놓고 있는거지... 밥먹을때도 보고 자기전에도 보고 중독수준;;,3천,3000
44,LovelyJJ,오늘 사람 스트레스에 너무 힘든하루였는데.. 왤케 힐링되냐..,5,5
45,봉구아빠,44:10 와 진짜 웃다가 숨넘어가는 줄 알았네 리얼쩌다 진짜,54,54
46,lillliilili,지나가던분들은 진짜 아재들인줄 알았겠지... 나도 아재들인줄알았어요..택조아재 본캐가 도대체 뭐야..,34,34
47,moonseob noh,30:43 택조의 신들린 라임31:54 로또 1등만큼 듣기 힘든 광용의 우렁찬 함성,106,106
48,ZiZi,뒤늦게 한사랑 산악회에 빠졌읍니다.... 항상 잼나게 보고덜 갑니다. 총총.....,20,20
49,블루베리스무디,집에 혼자 있을 때 적적할 때 틀어놓으면 막 시끌시끌하고 좋음. 잠 잘 때도 틀어놓음 좋음 ㅋㅋㅋㅋㅋㅋ,98,98
50,MIRAN LEE,오랜만에 다시보는데 너무 재밌구 웃음이납니다. 약간 눈물도나구요 .. 이런컨텐츠 계속해서ㅠ올려주시면 정말 감사하겠습니다. ㅋㅋㅋ,2,2
